"2001:320::", "2001:320:ffff:ffff:ffff:ffff:ffff:ffff", "42540551544505854172020431260460515328", "42540551623734016686284768854004465663", "KR", "Korea, Republic of"
"2001:328::", "2001:328:ffff:ffff:ffff:ffff:ffff:ffff", "42540552178331154286135132008812118016", "42540552257559316800399469602356068351", "MY", "Malaysia"
"2001:330::", "2001:330:ffff:ffff:ffff:ffff:ffff:ffff", "42540552812156454400249832757163720704", "42540552891384616914514170350707671039", "KR", "Korea, Republic of"
"2001:338::", "2001:338:ffff:ffff:ffff:ffff:ffff:ffff", "42540553445981754514364533505515323392", "42540553525209917028628871099059273727", "JP", "Japan"
"2001:340::", "2001:340:ffff:ffff:ffff:ffff:ffff:ffff", "42540554079807054628479234253866926080", "42540554159035217142743571847410876415", "JP", "Japan"
"2001:348::", "2001:348:ffff:ffff:ffff:ffff:ffff:ffff", "42540554713632354742593935002218528768", "42540554792860517256858272595762479103", "JP", "Japan"
"2001:350::", "2001:350:ffff:ffff:ffff:ffff:ffff:ffff", "42540555347457654856708635750570131456", "42540555426685817370972973344114081791", "JP", "Japan"
"2001:358::", "2001:358:ffff:ffff:ffff:ffff:ffff:ffff", "42540555981282954970823336498921734144", "42540556060511117485087674092465684479", "JP", "Japan"
"2001:360::", "2001:360:ffff:ffff:ffff:ffff:ffff:ffff", "42540556615108255084938037247273336832", "42540556694336417599202374840817287167", "AU", "Australia"
"2001:368::", "2001:368:ffff:ffff:ffff:ffff:ffff:ffff", "42540557248933555199052737995624939520", "42540557328161717713317075589168889855", "JP", "Japan"
"2001:370::", "2001:370:ffff:ffff:ffff:ffff:ffff:ffff", "42540557882758855313167438743976542208", "42540557961987017827431776337520492543", "JP", "Japan"
"2001:378::", "2001:378:ffff:ffff:ffff:ffff:ffff:ffff", "42540558516584155427282139492328144896", "42540558595812317941546477085872095231", "KR", "Korea, Republic of"
"2001:380::", "2001:380:ffff:ffff:ffff:ffff:ffff:ffff", "42540559150409455541396840240679747584", "42540559229637618055661177834223697919", "JP", "Japan"
"2001:388::", "2001:388:ffff:ffff:ffff:ffff:ffff:ffff", "42540559784234755655511540989031350272", "42540559863462918169775878582575300607", "AU", "Australia"
"2001:390::", "2001:390:ffff:ffff:ffff:ffff:ffff:ffff", "42540560418060055769626241737382952960", "42540560497288218283890579330926903295", "KR", "Korea, Republic of"
"2001:398::", "2001:398:ffff:ffff:ffff:ffff:ffff:ffff", "42540561051885355883740942485734555648", "42540561131113518398005280079278505983", "JP", "Japan"
"2001:3a0::", "2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff", "42540561685710655997855643234086158336", "42540561764938818512119980827630108671", "JP", "Japan"
"2001:3a8::", "2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff", "42540562319535956111970343982437761024", "42540562398764118626234681575981711359", "KR", "Korea, Republic of"
"2001:3b0::", "2001:3b0:ffff:ffff:ffff:ffff:ffff:ffff", "42540562953361256226085044730789363712", "42540563032589418740349382324333314047", "JP", "Japan"
"2001:3b8::", "2001:3b8:ffff:ffff:ffff:ffff:ffff:ffff", "42540563587186556340199745479140966400", "42540563666414718854464083072684916735", "JP", "Japan"
"2001:3c0::", "2001:3c0:1fff:ffff:ffff:ffff:ffff:ffff", "42540564221011856454314446227492569088", "42540564230915376768597488426685562879", "JP", "Japan"
"2001:3c8::", "2001:3c8:ffff:ffff:ffff:ffff:ffff:ffff", "42540564854837156568429146975844171776", "42540564934065319082693484569388122111", "TH", "Thailand"
"2001:3d0::", "2001:3d0:ffff:ffff:ffff:ffff:ffff:ffff", "42540565488662456682543847724195774464", "42540565567890619196808185317739724799", "JP", "Japan"
"2001:3d8::", "2001:3d8:ffff:ffff:ffff:ffff:ffff:ffff", "42540566122487756796658548472547377152", "42540566201715919310922886066091327487", "JP", "Japan"
"2001:3e0::", "2001:3e0:ffff:ffff:ffff:ffff:ffff:ffff", "42540566756313056910773249220898979840", "42540566835541219425037586814442930175", "JP", "Japan"
"2001:3e8::", "2001:3e8:ffff:ffff:ffff:ffff:ffff:ffff", "42540567390138357024887949969250582528", "42540567469366519539152287562794532863", "JP", "Japan"
"2001:3f0::", "2001:3f0:ffff:ffff:ffff:ffff:ffff:ffff", "42540568023963657139002650717602185216", "42540568103191819653266988311146135551", "JP", "Japan"
"2001:400::", "2001:400:ffff:ffff:ffff:ffff:ffff:ffff", "42540569291614257367232052214305390592", "42540569370842419881496389807849340927", "US", "United States"
"2001:408::", "2001:408:ffff:ffff:ffff:ffff:ffff:ffff", "42540569925439557481346752962656993280", "42540570004667719995611090556200943615", "US", "United States"
"2001:410::", "2001:410:ffff:ffff:ffff:ffff:ffff:ffff", "42540570559264857595461453711008595968", "42540570638493020109725791304552546303", "CA", "Canada"
"2001:418::", "2001:418:ffff:ffff:ffff:ffff:ffff:ffff", "42540571193090157709576154459360198656", "42540571272318320223840492052904148991", "US", "United States"
"2001:420::", "2001:420:ffff:ffff:ffff:ffff:ffff:ffff", "42540571826915457823690855207711801344", "42540571906143620337955192801255751679", "US", "United States"
"2001:428::", "2001:428:ffff:ffff:ffff:ffff:ffff:ffff", "42540572460740757937805555956063404032", "42540572539968920452069893549607354367", "US", "United States"
"2001:430::", "2001:430:ffff:ffff:ffff:ffff:ffff:ffff", "42540573094566058051920256704415006720", "42540573173794220566184594297958957055", "US", "United States"
"2001:438::", "2001:438:ffff:ffff:ffff:ffff:ffff:ffff", "42540573728391358166034957452766609408", "42540573807619520680299295046310559743", "US", "United States"
"2001:440::", "2001:440:ffff:ffff:ffff:ffff:ffff:ffff", "42540574362216658280149658201118212096", "42540574441444820794413995794662162431", "US", "United States"
"2001:448::", "2001:448:ffff:ffff:ffff:ffff:ffff:ffff", "42540574996041958394264358949469814784", "42540575075270120908528696543013765119", "MX", "Mexico"
"2001:450::", "2001:450:ffff:ffff:ffff:ffff:ffff:ffff", "42540575629867258508379059697821417472", "42540575709095421022643397291365367807", "US", "United States"
"2001:458::", "2001:458:ffff:ffff:ffff:ffff:ffff:ffff", "42540576263692558622493760446173020160", "42540576342920721136758098039716970495", "US", "United States"
"2001:460::", "2001:460:ffff:ffff:ffff:ffff:ffff:ffff", "42540576897517858736608461194524622848", "42540576976746021250872798788068573183", "US", "United States"
"2001:468::", "2001:468:ffff:ffff:ffff:ffff:ffff:ffff", "42540577531343158850723161942876225536", "42540577610571321364987499536420175871", "US", "United States"
"2001:470::", "2001:470:ffff:ffff:ffff:ffff:ffff:ffff", "42540578165168458964837862691227828224", "42540578244396621479102200284771778559", "US", "United States"
"2001:478::", "2001:478:ffff:ffff:ffff:ffff:ffff:ffff", "42540578798993759078952563439579430912", "42540578878221921593216901033123381247", "US", "United States"
"2001:480::", "2001:480:ffff:ffff:ffff:ffff:ffff:ffff", "42540579432819059193067264187931033600", "42540579512047221707331601781474983935", "US", "United States"
"2001:490::", "2001:490:ffff:ffff:ffff:ffff:ffff:ffff", "42540580700469659421296665684634238976", "42540580779697821935561003278178189311", "US", "United States"
"2001:498::", "2001:498:ffff:ffff:ffff:ffff:ffff:ffff", "42540581334294959535411366432985841664", "42540581413523122049675704026529791999", "MX", "Mexico"
"2001:4a0::", "2001:4a0:ffff:ffff:ffff:ffff:ffff:ffff", "42540581968120259649526067181337444352", "42540582047348422163790404774881394687", "US", "United States"
"2001:4b0::", "2001:4b0:ffff:ffff:ffff:ffff:ffff:ffff", "42540583235770859877755468678040649728", "42540583314999022392019806271584600063", "US", "United States"
"2001:4b8::", "2001:4b8:ffff:ffff:ffff:ffff:ffff:ffff", "42540583869596159991870169426392252416", "42540583948824322506134507019936202751", "US", "United States"
"2001:4c0::", "2001:4c0:ffff:ffff:ffff:ffff:ffff:ffff", "42540584503421460105984870174743855104", "42540584582649622620249207768287805439", "CA", "Canada"
"2001:4c8::", "2001:4c8:ffff:ffff:ffff:ffff:ffff:ffff", "42540585137246760220099570923095457792", "42540585216474922734363908516639408127", "CA", "Canada"
"2001:4d0::", "2001:4d0:ffff:ffff:ffff:ffff:ffff:ffff", "42540585771072060334214271671447060480", "42540585850300222848478609264991010815", "US", "United States"
"2001:4d8::", "2001:4d8:ffff:ffff:ffff:ffff:ffff:ffff", "42540586404897360448328972419798663168", "42540586484125522962593310013342613503", "US", "United States"
"2001:4e0::", "2001:4e0:ffff:ffff:ffff:ffff:ffff:ffff", "42540587038722660562443673168150265856", "42540587117950823076708010761694216191", "US", "United States"
